timestamp,speed,angle,esc_timestamp,state
9.2,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.24,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.3,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.34,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.4,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.44,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.5,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.56,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.6,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.66,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.7,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.74,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
9.8,"[-1, 3, 0, -3]","[25341, 5668, 7042, 27849]","[1844509, 1844510, 1844512, 1844507]","[0, 0, 0, 0]"
